,dish name,veg_ind,nonveg_ind
,Chicken Tikka Kali Mirch,0,1
,Crispy chicken with basil and bird chili,0,1
,Achari Paneer Tikka,1,0
,Smokey Barbeque Chicken Wings,0,1
,Classic Garden Burger,1,0
,Cottage Cheese Popper with chili and coriander,1,0
,Dahi Kebab,1,0
,Molten Chocolate Cake,1,0
,Virgin Mojito,1,0
,Shaam Savera,1,0
,Dal Mizaz,1,0
,"Basil,Paneer Tikka, Capsicum, Pineapple Pizza",1,0
,Lalla Mussa Dal,1,0
,Daab Chingari,0,1
,Chicken Kasha,0,1
,Mutton Kasha,0,1
,Fish Fry,0,1
,Special Bengali Thali,0,1
,Fish Kalia,0,1
,Bhetki Paturi,0,1
,Luchi,1,0
,Mutton Biriyani,0,1
,Aloo Dum,1,0
,Chicken Cutlet,0,1
,Aloo Posto,1,0
,Sweet Curd,1,0
,Prawn Malai Curry,0,1
,Chital Muitha,0,1
,Julliene,1,0
,Chicken Biriyani,0,1
,Steamed Rice,1,0
,Paratha,1,0
,Fish Thali,0,1
,Masala Dosa,1,0
,Makhani Paneer Masala Dosa,1,0
,Thali,1,0
,Butter Masala Dosa,1,0
,Dahi Vada,1,0
,Plain Uttapam,1,0
,Dal Makhani,1,0
,South Indian Filter Coffee,1,0
,Rava Masala Dosa,1,0
,Murg Mumtaz,0,1
,Dal Makhni,1,0
,Chicken Tikka Masala,0,1
,Chicken Butter,0,1
,Dal Makhani,1,0
,Tomato Paneer(Makhni),1,0
,Butter Naan,1,0
,Saag Mutton,0,1
,Roti,1,0
,Chicken Saag,0,1
,Rogan Josh(Dahi Mutton),0,1
,Rogan Josh(Dahi Mutton),0,1
,Dal Makhani,1,0
,Palak Paneer,1,0
,Shahi Paneer,1,0
,Chicken Curry ,0,1
,Keema Kaleji,0,1
,Malai Kofta,1,0
,Chicken Caesar,0,1
,Ham Toastie,0,1
,Falafel ,1,0
,Chipotle Potato,1,0
,Iced green Tea,1,0
,Chicken Seekh Kebab Pita,0,1
,Khasta kebab,1,0
,Pita and Baba ganoush,1,1
,Pita Sandwich,1,1
,Chicken Tikka ,0,1
,Smoken Chicken Breast,0,1
,chicken tikka pizza,0,1
,murgh mallai tikka ,0,1
,tangra chilli chicken,0,1
,chicken tikka ,0,1
,grilled chicken fajita wrap,0,1
,mutton seekh kebab,0,1
,ajwaini paneer tikka,1,0
,vegetarian caesar salad,1,0
,dal fusion,1,0
,pacific veg thin crust pizza,1,0
,cheesy garlic bread,1,0
,bruschetta,1,0
,deep see food platter,0,1
,vanilla ice,1,0
,cosmopolitan,1,0
,Butter Chicken,0,1
,Dal Makhani,1,0
,Tandoori Chicken,0,1
,Chicken Pakora,0,1
,Garlic Naan,1,0
,Paneer Malai Tikka,1,0
,Shahi Paneer,1,0
,Butter Naan,1,0
,Butter Chicken Tikka,0,1
,chilly chicken pizza,0,1
,mutton burger,0,1
,basket of  garlic bread,1,0
,juicy beef burger,0,1
,club sandwich with bocon,1,0
,peri peri pasta with creamy tomato sauce,1,1
,banofee pie,1,0
,chilli garlic noodles,1,0
,Heisenberg,1,0
,Craft Your Own Pizza,1,0
,Heisenberg Pizza,0,1
,Whole Pizza,1,0
,Smoking Room Pizza,0,1
,Philly Cheese Steak,1,0
,Hot Spot Pizza,1,0
,The Boss Pizza,0,1
,Piggy Bank Pizza,0,1
,Smoking Room Pizza,0,1
,Garlic Bread ,1,0
,Baked New York Cheesecake,1,0
,Roasted Chicken Supreme Pizza,0,1
,Fusilli Peri Peri Pasta,1,1
,Murgh Malai Tikka,0,1
,Club Sandwich,1,1
,Butter Chicken Boneless,0,1
,Honey Chilli Potato,1,0
,Dal Makhni,1,0
,Veggie Supreme Pizza,1,0
,Chilli Chicken Dry,0,1
,Dark Chocolate Mousse,1,0
,Grilled Chicken Burger,0,1
,Classic Chicken Hotdog,0,1
,dal Makhani,1,0
,butter Chicken,0,1
,chur chur naan,1,0
,paneer tikka,1,0
,chicken lababdar,0,1
,hara seekh kebab,1,0
,jalandhari mutton tikka,0,1
,gulukand ice cream,1,0
,Basil Chicken Tikka,0,1
,paneer lababdar,1,0
,tandoori chicken,0,1
,tandoori broccoli,1,0
,gulab jamun,1,0
,murg ka sula,0,1
,Hara seekh kebab,1,0
,phad kraphaw,0,1
,khao niew,1,0
,kai phad med mamuang,0,1
,phad thai noodles,1,0
,khao suay,1,0
,chicken satay,0,1
,stir fried rice noodles,1,0
,phad phak ruam fai daeng,1,0
,bamee kee mao,1,1
,Asparagus and goat cheese salad,1,0
,Sabine Pizza,0,1
,Angel Hair Pasta,1,1
,Caesar's Salad-Our version,1,1
,Harvest Moon Salad,1,0
,Asparagus and goat cheese salad,1,0
,Verde Pizza,1,0
,Grilled fillet of John Dory,0,1
,Mrs K's Dahi Mutton,0,1
,DIVA's Favourite Risotto,1,0
,New York Cheese Cake,1,0
,Dal Balluchi,1,0
,Murgh Potli,0,1
,Malai Kofta Bharawan,1,0
,Paneer Peshawari,1,0
,Afghani Murgh Tandoori,0,1
,moroccan grilled chicken,0,1
,tall and slim thai spring roll,1,0
,addictive garlic bread,1,0
,vada pao slider,1,0
,Finger Lickin Peri Peri Burger,0,1
,Chicken Mexican Burrito,1,0
,Cold Coffee Regular,1,0
,Burrpy Aloo Tikki Burger,1,0
,Cheesy Aloo Tikki Burger,1,0
,Burrpy Aloo Tikki Burger,1,0
,Iced Tea,1,0
,Hummus and Tahini Sandwich,1,0
,Classic Express Hotdog,0,1
,Waffles with Honey,1,0
,The Primetime Burger,0,1
,Pomodoro Pesto,1,0
,Cheesecake,1,0
,Calabrese Pizza,0,1
,Etna Pizza,0,1
,Red Italian Lemon Gelato,1,0
,Apollo,0,1
,American Hottest Pizza,0,1
,Pollo Forza,0,1
,Antipasto Pollo e Gambero,0,1
,Polpette Bolognese,0,1
,Chicken Biryani Dum Ki,0,1
,Veg Biryani,1,0
,Zafrani Mutton Biryani,0,1
,Chicken Rista,0,1
,Labhi Kebab,0,1
,Kursi Miyane,0,1
,Lal Paneer,1,0
,Phirni,1,0
,Chicken 65,0,1
,Zafrani Mutton Biryani,0,1
,Roganjosh,0,1
,Naan/Garlic,1,0
,Rista,0,1
,Paneer Charminar,1,0
,Goshtaba,0,1
,Chicken Shashlik,0,1
,Garlic Bread,1,0
,Veg Sizzler,1,0
,Cream of Chicken,1,0
,Cottage Cheese Steak,1,0
,Prawn Sizzler,0,1
,fried rice,1,0
,chilli chicken,0,1
,shredded lamb,0,1
,american chopsuey,1,0
,kung pao chicken,0,1
,cherry honey chicken,0,1
,butter chilli garlic prawns,0,1
,creamy garlic chicken,0,1
,Dahi ke Kebab,1,0
,Mixed Berry Smoothie,1,0
,Paneer Paprika,1,0
,Green Apple Mojito,1,0
,Penne a la Fungi,1,0
,John Lenon,1,0
,Chilly Chicken,0,1
,Honey Chilly Potatoes,1,0
,khao Suey,1,1
,Hawker Style Fried Rice,1,1
,Crispy Basil Leaf Chicken,0,1
,House Spring Rolls,1,1
,Pad Thai,1,1
,Gaeng Kiew Wan (Thai Green Curry),1,1
,Mocha Ice Cream with Chocolate Fudge,1,0
,Bi-Bim Bap,1,1
,Gaend Ped (Thai Red Curry),1,1
,Sticky Rice,1,0
,Pad Thai,1,1
,Famous House Chicken Satay,0,1
,Basil Leaf Soup,1,1
,Cheesy Mushrooms,1,0
,Tom Yum Soup,1,1
,Paan Kulfi,1,0
,kesar pista,1,0
,pan flavour,1,0
,malai kulfi,1,0
,chocolate kulfi,1,0
,kala jamun,1,0
,butter scotch kulfis,1,0
,kulfi faluda,1,0
,Elma's Cake,1,0
,Jack Daniels Chicken Wings,0,1
,Queens Pizza,1,0
,Caramel Cake,1,0
,The Soho Pizza,0,1
,Fat Lulu's Vegetarian Pizza,1,0
,trio garlic bread,1,0
,Classic Caesar Salad - Tossed Calamari,0,1
,Brooklyn Pizza,1,1
,Texas Pork Belly,0,1
,Spicy Chicken Goujons with Tomato Jam,0,1
,Butter Chicken,0,1
,Chicken Quorma,0,1
,Dal Makhani,1,0
,Railway Chicken Curry,0,1
,Mutton Quorma,0,1
,Dahi ke kebab,1,0
,Tandoori Chicken,0,1
,Nafeesi Chicken Biryani,0,1
,Paneer Makhani,1,0
,Sukha Chicken,0,1
,Chicken Dima Roll,0,1
,Butter Naan,1,0
,Sukha Mutton,0,1
,Tandoori Mushrooms,1,0
,Lahori Dal,1,0
,Ghee Shakkar Roti,1,0
,Pashtuni Chapli Kebab,0,1
,Chicken seekh Gilafi,0,1
,chicken burger,0,1
,lamb burger,0,1
,pulled pork burger,0,1
,veg burger,1,0
,pulled pork melt,1,0
,sinful  chocolate pancakes,1,0
,mexican veg chilly bowl,1,0
,bbq chicken wings,0,1
,mexican lamb chilli bowl & cheese,0,1
,classic  grilled cheese overload,1,0
,classic chicken dog,0,1
,Dessert Buffet,1,0
,Chicken Pizza,0,1
,Butter Chicken,0,1
,Gulab Jamun,1,0
,Egg Benedict,0,1
,lahabdar kebab,1,0
,tabakh maaz,1,0
,marchwangan korma,0,1
,mutton rogan josh,0,1
,goshtaba,0,1
,rista,0,1
,kanti,0,1
,daniwal korma,0,1
,waza kokur,0,1
,chicken yakhni,0,1
,Saffron Keshwa,0,1
,palak paneer,1,0
,fireen,1,0
,Mutton Kanti,0,1
,Affettati & gnocco fritto,0,1
,Pizza Margherita,1,0
,Pasta,1,1
,Zuccotto al cioccolato,1,0
,Minestrone de vendura classico pesto,1,0
,Gelato and sorbetto,1,0
,dal makhani,1,0
,chicken tikka,0,1
,paneer pasanda,1,0
,paneer tikka sunheri,1,0
,murgh makhani,0,1
,Diwan's mutton curry,0,1
,hara bhara kebabs,1,0
,mutton seekh kabab,0,1
,malai kofta,1,0
,murg tikka masala,0,1
,jodhpuri parantha,1,0
,ladjaki momos,1,1
,Thukpa,1,1
,chilly chicken,0,1
,crispy honey chilly potato,1,0
,rhe-chotse,1,1
,rhe-chotse,1,1
,Chicken Dimsums,0,1
,shapta,1,1
,ting momos,0,1
,fried momos,1,1
,Chilly Chicken,0,1
,Chicken Tikkas,0,1
,Bar-B-Que Chicken Wings,0,1
,Chilly Paneer,1,0
,Garlic Bread,1,0
,Honey Chilly Potatoes ,1,0
,Grilled Fish,0,1
,Veg Mezze Platter,1,0
,dahi ke kabab,1,0
,"fusilli white sauce, corn and mushroom",1,0
,falafel pita pockets,1,0
,raan e khas,0,1
,lebanese lamb chops,0,1
,Baby Dragon Chilly Chicken ,0,1
,Kun Chaw Chicken,0,1
,Chicken Tikka Curry,0,1
,Chilli Paneer Dry,1,0
,Veg Fried Rice,1,0
,Veg Chilli Garlic Noodles,1,0
,Kingfisher,1,0
,stuffed garlic bread,1,0
,choco lava cake,1,0
,peppy paneer,1,0
,chicken fiesta,0,1
,Island Club Burger,1,0
,Spicy Chicken Club Burger,0,1
,Ultimate Mutton Club Burger,0,1
,Ultimate Mutton Club Burger,0,1
,The original Veg Club Burger,1,0
,Chicken Club Burger,0,1
,Cookies and Cream shake,1,0
,Chilli Chicken,0,1
,chicken Steak,0,1
,Chinese Bhel,1,0
,Cottage Cheese Streak Sizzler,1,0
,Dal Makhani,1,0
,Red Velvet Shake,1,0
,Kit Kat Shake,1,0
,HSC chiken burger,0,1
,Chilli Paneer,1,0
,Grilled Fish,0,1
,Mushroom Kurmuri,1,0
,Murgh Malai Tikka,0,1
,Dahi Kebab,1,0
,Dal Makhni,1,0
,Butter Chicken Spl,0,1
,Spl Cream Kali Mirch Chicken,0,1
,Dal Makhani,1,0
,Sethi's Fried Chicken,0,1
,Chicken Biryani,0,1
,Paneer Tikka,1,0
,Chicken Malai Tikka,0,1
,Tandoori Chicken ,0,1
,Chilli Chicken,0,1
,Kadai Paneer,1,0
,Peshwari Chicken,0,1
,mutton biryani,0,1
,chicken rezala,0,1
,chicken biryani,0,1
,chicken chaap,0,1
,arsalan,1,0
,afghani chicken,0,1
,tandoorie chicken,0,1
,mutton kosha,0,1
,sweet potato,1,0
,laccha parantha,1,0
,chicken tikkas,0,1
,basil fried rice,1,1
,chicken in butter garlic sauce,0,1
,mongokian fish,0,1
,szechuan chilly chicken dry,0,1
,lemon coriander soup,1,1
,szechuan chilly garlic noodles,1,1
,talumein soup,1,1
,kung pao chicken,0,1
,stuffed chicken shanghai,0,1
,chilli fish,0,1
,Coronation Chicken Salad,0,1
,Cold Coffee,1,0
,Grilled Goat Cheese,1,0
,Double Chocolate Mousse,1,0
,Cheese Platter,1,0
,House Sangria,1,0
,Roasted Garlic Gnocchi,1,0
,Warm Bean Salad,1,0
,crisp garlic bread,1,0
,singapore sling,1,0
,crispy chicken,0,1
,moroccan spiced cottage cheese ,1,0
,crispy chilli potato,1,0
,dirty harry,1,0
,sangria red,1,0
,paaner and bell pepper tikka masala,1,0
,harry 's jazz burger,1,0
,martabaan ka meat,0,1
,palak patta chaat ,1,0
,varqui crab,0,1
,ganderi kebab,0,1
,mirch ka parantha,1,0
,paneer anardana,1,0
,mini olive naan ,1,0
,nadru and anjeer ke kofte,1,0
,tomato and mozarella kulcha,1,0
,martabaan chhole,1,0
,ambedi fish tikka,0,1
,khurmani ke kebab,1,0
,murg sirka pyaz,0,1
,lal moth ki maharani,1,0
,bhatti ka murg,0,1
,Crispy Spinach with fresh red chillies,1,0
,spicy malha fried rice with mix sea food,0,1
,darsaan with vanilla ice cream,1,0
,kung pao diced chicken with cashewnut,0,1
,stir fried spinach with fresh red chillies,1,0
,Garlic Bread,1,0
,Meat lovers Pizza,0,1
,Venus Garden Pizza,0,1
,Pesto Chicken Pizza,0,1
,Meaty Lasagne,0,1
,Greek gods Pizza,1,0
,Wood Fire pizza,1,0
,tomato bruschetta,1,0
,Mushroom Spinach Vol,1,0
,Blueberry Cheesecake,1,0
,Veg. Lasagne,1,0
,Lemon Iced tea,1,0
,High on Shrooms,1,0
,Pizza Tomatina,1,0
,Pesto Sauce Pasta,1,0
,Greek Salad,1,0
,Greek gods Pizza,1,0
,Chaak-Khao,1,0
,Fried Chicken Liver,0,1
,Arsa Chhum,0,1
,Bilahi Masor Tenga,0,1
,Wild Red Rice Tea ,1,0
,Aksa Meh,0,1
,Iromba,1,0
,Pork Spare Ribs,0,1
,Ngatok,0,1
,Dohneiihong,0,1
,Fried Fish,0,1
,Dry River Fish Chutney,0,1
,Bilahi Masor Tenga,0,1
,Jadoh,0,1
,Wahan Mosden ,0,1
,Chaak-Khao,1,0
,dal Makhani,1,0
,shahi paneer,1,0
,aloo naan,1,0
,dhuandhar naan,1,0
,paneer butter masala,1,0
,butter naan,1,0
,paneer tikka,1,0
,Soya Chaap,1,0
,garlic nan most,1,0
,Rabri Parantha,1,0
,Nimbu Parantha,1,0
,Mix Veg Parantha,1,0
,Chilli Parantha,1,0
,Mango Kulfi,1,0
,False Kulfi,1,0
,Paan Kulfi,1,0
,Litchi Kulfi,1,0
,Anar Kulfi,1,0
,Jamun Kulfi,1,0
,Rabri Kulfi,1,0
,Aam Panna Kulfi,1,0
,Sharifa Kulfi,1,0
,Chicken Malai Tikka,0,1
,Pasta White,1,1
,Sheesha,1,0
,dal makhamali,1,0
,Mix Sauce Pasta,1,0
,Cold coffee,1,0
,Chilly Paneer Quesadillas,1,0
,Cheese and corn Ravioli,1,0
,Cheese Quesadilla,1,0
,Garlic Bread,1,0
,Paneer Tikka Pizza,1,0
,Classic Hot Chocolate,1,0
,Iced Coffee,1,0
,Kit Kat Shake,1,0
,Chocolate Fondue,1,0
,Garlic Bread,1,0
,Chicken Momos,0,1
,Chilly Chicken,0,1
,Crispy Potato Honey Chilly,1,0
,Veg Fried Rice,1,0
,Yaki Gyoza Momos,0,1
,Veg Hakka Noodles,1,0
,Manchow Soup,1,1
,Chicken Roll,0,1
,Double Egg Roll,0,1
,Paneer Roll,1,0
,Veggie Roll,1,0
,Double chicken Roll,0,1
,Double Paneer Roll,1,0
,Single Soya Chap Roll,1,0
,Single Chilly Paneer Roll,1,0
,Crispy Butterfly Chicken Burger,0,1
,Captain's Love Burger,0,1
,Piri Piri Lamb Burger,0,1
,Double Cheese Burger,0,1
,Grilled Chicken Escalope,0,1
,Sloppy Joe Burger,0,1
,Macaroni & Tuna Salad,0,1
,Penne Arrabbiata Pasta,1,1
,Mongolian Chicken,0,1
,Clay Pot Rice,1,0
,Chicken chilly,0,1
,Veg Hakka Noodles,1,0
,Kung Pao Chicken,0,1
,Lemon Chicken,0,1
,Schezwan Chicken,0,1
,Fried Rice,1,0
,Fried corn curd,1,0
,Barbeque Jumbo Prawns,0,1
,Shrimp and Smoked Salmon Pizza,0,1
,Molten Chocolate Cake,1,0
,Blueberry Cheese cake,1,0
,Palak and Dahi ke Kebab,1,0
,Beetroot and Goat Cheese Salad,1,0
,Grilled Herb Marinated Chicken,0,1
,Roast Almond and Spinach Ravioli,1,0
,Peri peri burger,0,1
,Zafrani Paneer Tikka,1,0
,Anda Parantha,0,1
,Kobideh Kebab,0,1
,tipu's special korma,0,1
,dahi ke kebab,1,0
,murg makhni,0,1
,sultani galouti,0,1
,keemay ki tangri,0,1
,mysori nihari,0,1
,khamari roti,1,0
,navratan biryani,1,0
,kesari paneer tikka,1,0
,tipu sultan dal,1,0
,garlic dhania naan,1,0
,dawaat-e-biryani,0,1
,gulab ki rabri,1,0
,sultani galouti,0,1
,roomali roti,1,0
,gobhi mussalam,1,0
,mysori nihari,0,1
,murg ki tashtari,0,1
,mutton pasanda,0,1
,keemay ki tangri,0,1
,pudhina pomfret,0,1
,bakarkhani,1,0
,warqui paratha,0,1
,mutton stew ,0,1
,chicken tikka wrap,0,1
,mutton korma lazeez,0,1
,paneer sheeshmahal,1,0
,dal makhani,1,0
,kesari paneer tikka,1,0
,Chicken sui mai,0,1
,Black Pepper Chicken,0,1
,Dim sums,1,1
,Coriander Garlic Noodles,1,1
,Molten Chocolate fresh fruit couli,1,0
,crystal Prawn,0,1
,Burnt Veg Garlic Fried Rice,1,0
,Veg Sushi,1,0
,Virgin Mojito,1,0
,Molten Chocolate fresh fruit couli,1,0
,king fish rava fry,0,1
,prwan peri peri,0,1
,chicken vindaloo,0,1
,chicken xacuti,0,1
,chilly crab,0,1
,viva o' viva fruit cream,1,0
,Lady Fish Rava Fry,0,1
,coconut pancake,1,0
,custard pudding ,1,0
,grilled sea fish,0,1
,mix seafood pulao,0,1
,Dal Bati Churma,1,0
,Marwari Thali,1,0
,Shraman Special Paan Patta Chaat,1,0
,Dum Ki Bani Dal,1,0
,Raaj Kachori,1,0
,Ghewar Malai Mishri,1,0
,Surkh Paneer,1,0
,Kadai Paneer,1,0
,Rajasthani Papad Aur Mangori ki Subzi,1,0
,Jodhpuri Mirch Paneer,1,0
,Gatta Curry,1,0
,Paneer Long Latta,1,0
,North Indian Thali,1,0
,Tamater Dhaniya ka Shorba,1,0
,Dahi ke Sholey,1,0
,Bikaneri Parantha,1,0
,Shahi Tukra,1,0
,Marwari Thali,1,0
,Phirni,1,0
,Subz Dahi Wali Tikki,1,0
,Grilled Teppanyaki,0,1
,Hibachi Basil Miso Fried Rice,1,0
,Hot toffee Pudding,1,0
,Kung Phad XO,0,1
,Thai Green curry,1,0
,xiang jiao shui jing jiao,1,0
,california veggie roll,1,0
,prawn tempura roll,0,1
,philadelphia roll,0,1
,fusion roll box,0,1
,maki box,1,0
, supermix box,0,1
,fresh salmon nigiri,0,1
,spicy tuna roll,0,1
,miso soup,1,0
,smoked salmon nigiri,0,1
,chahan rice ,1,1
,Warm Chocolate Pie,1,0
,Classic Café Latte ,1,0
,Caramel Latte,1,0
,Double Chocolate Latte,1,0
,Garlic Bread,1,0
,cinnamon coffee,1,0
,Ice Blended Mocha,1,0
,chicago  cheese cake,1,0
,today's iced tea,1,0
,red velvet cupcake,1,0
,minibon roll,1,0
,chocobon,1,0
,chocolate cupcake,1,0
,caramel pecanbon,1,0
,blended cold coffee,1,0
, chocolate,1,0
,sweet cream cheese,1,0
,cinnabon  stix,1,0
,espresso,1,0
,Red Velvet Cupcake,1,0
,Minibon Roll,1,0
,Chocobon Bites,1,0
,Chocolate Cupcake,1,0
,Caramel Pecanbon,1,0
,Blended Cold Coffee,1,0
,Minibon Roll,1,0
,Sweet Cream Cheese,1,0
,Cinnabon Stix,1,0
,Café Americano,1,0
,Dal Devarana,1,0
,tomato soup,1,0
,goat cheese pizza,1,1
,wild mushroom soup,1,0
,pomelo salad,1,0
,achari rajma ki khichdi,1,0
,issan style raw papaya salad,1,0
,thin crust veg pizza,1,0
,Veg Biryani,1,0
,Onion Pakodi,1,0
,Veg Thali,1,0
,Chicken Vepudu,0,1
,Mirchi Bhajji,1,0
,Gutti Vankaya(Baigan),1,0
,Chicken Pakodi,0,1
,Mutton Vepudu,0,1
,Paneer Cashew Masala,1,0
,Veg Biryani,1,0
,The Nook Special Veg Kebab Platter,1,0
,Dal Makhani,1,0
,Dahi Kebab,1,0
,Tandoori Shahi Champein,0,1
,Tamatar Dhaniya Shorba,1,0
,Paneer Papdi,1,0
,The Nook Lababdar E Paneer Tikka,1,0
,cheese crusted Garlic Bread,1,0
,La Bomba,0,1
,BST NYC Special,1,0
,Yankee Stadium Pizza,0,1
,NY Style Pizza,0,1
,Jamaican Heights Pizza,1,0
,Fromagi Fromagi,1,0
,Canal Street Pizza,1,0
,the Firecracker Pizza,0,1
,best margarita pizza,1,0
,Dum Biryani,1,1
,Garlic Bread Sticks,1,0
,Mushroom Cappuccino Soup,1,0
,Classic Chicken Steak,0,1
,Healthy Vegetable Pizza,1,0
,Chicken Biryani,0,1
,Grilled Chicken Salad with Bell Pepper,0,1
,Chicken Italiano Pizza,0,1
,Hyderabadi Dum Biryani,1,1
,Chicken Lemon Parsley,0,1
,Baked Broccoli and Toasted Almond Soup,1,0
,Margherita Pizza,1,0
,Romana Pizza,1,1
,Banofee Pie,1,0
,Goat's Cheese Salad,1,1
,Garlic Bread,1,0
,slow braised belgium pork belly,0,1
,molten chocolate cabernet cake,1,0
,mustard crusted sea bass,0,1
,"red velvet cake with cream cheese frosting, balsamic caviar and raspberry sorbet",1,0
,baked antichoke hearts,1,0
,new zealand lamb chop,0,1
,red velvet slice,1,0
,chilli garlic king prawns and calamari,0,1
,tenderlion sandwich,0,1
,Vietnamese Grilled Chicken Skewers,0,1
,Warm Gooey Chocolate Cake,1,0
,"Fresh Rocket, Goat Cheese Salad",1,0
,French Chocolate Caramel Tarte,1,0
,Zanzibar Coastal Masala,0,1
,Banana Nutella Cheesecake,1,0
,Prawns Karwari,0,1
,classic chilly chicken,0,1
,classic honey chilly potato,1,0
,fried rice,1,1
,chilly garlic noodles,1,1
,Olive rice,1,1
,red velvet cake,1,0
,chicken basil noodles,0,1
,crispy lamb,0,1
,hot and sour soup,1,1
,chicken talumein soup,0,1
,stuffed chicken breast,0,1
,chilli chicken,0,1
,Dal Masabba,1,0
,Paneer Tikka Sunhari,1,0
,Murgh Maska Marke,0,1
,Dahi ke kebab,1,0
,Chilli Garlic Fish,0,1
,Italian Smooch,1,0
,Belgian Dark Chocolate Mousse,1,0
,Assorted Veg Kebab Platter,1,0
,Potato Mozrella Fingers,1,0
,Mushroom Duplex,1,0
,Treasury Paneer Kalyani,1,0
,Honey Chilli Potato,1,0
,Mutton Burrah,0,1
,Chicken Korma,0,1
,Hyderabadi Biryani,0,1
,Lucknowi Biryani,0,1
,Afghani chicken,1,0
,Mughlai Parantha,1,0
,Butter Chicken,0,1
,Galawat ke kebab,1,0
,Paneer Tikka Masala,1,0
,Tandoori Chicken,0,1
,Mutton Keema,0,1
,Dal Makhani,1,0
,Rumali Roti,1,0
,Paneer Tikka Masala,1,0
,Butter naan,1,0
,Kadhai Paneer,1,0
,Shami Kebab,0,1
,Dum Handi Biryani,0,1
,Shaadi ka Korma,0,1
,Chicken Biryani,0,1
,Dabang Tikka,1,1
,Murgh Makhani,0,1
,Dal Makhani,1,0
,Mutton Rarra Ghost,0,1
,Garlic Naan,1,0
,Tawa Chicken,0,1
,cream of garlic chicken,0,1
,dal makhni,1,0
,chicken satay,0,1
,dahi ke kebab,1,0
,paneer lababdaar,1,0
,mushroom cheese caps,1,0
,chilly chicken,0,1
,bhatti ka murg,0,1
,Tawa Chicken ,0,1
,Murg Tandoori Lahori,0,1
,Dal Makhani,1,0
,Butter Chicken ,0,1
,Tandoori Veg Momos,1,0
,Honey Potatoes,1,0
,Chilly Chicken,0,1
,Singhching Spl Paneer Lababdar,1,0
,Shahi Paneer,1,0
,Veg. Spring Roll,1,0
,Murg Malai Tikka,0,1
,peri peri pizza,1,0
,margherita rustic pizza,1,0
,ferrero rocher shake,1,0
,green apple mojito,1,0
,grilled chicken with hummus and pita,0,1
,choco nutella waffle,1,0
,nutella bliss pancakes,1,0
, FGC chicken burger,0,1
,regular cold coffee,1,0
,sizzling honey chilli potato,1,0
,draught beer,1,0
,harippa paneer tikka,1,0
,dal mizaz,1,0
, shaam savera,1,0
,harippa paneer tikka,1,0
,kashmiri dum aloo,1,0
,aloo nazakat,1,0
,lemon grass chicken tikka,0,1
,lalla mussa dal,1,0
,dum gosht biryani,0,1
,nizami tarkari biryani,0,1
,lemon coriander clear soup,1,1
,Garlic Bread Plain,1,0
,White Sauce Pasta,1,1
,Chicken Salad,0,1
,Garlic Bread Plain,1,0
,Baked Omelette,0,1
,Fruit Beer,1,0
,Paneer Tikka Sandwich,1,0
,Salad dé Pasta,1,0
,Masala Twist Pasta,1,1
,baked pasta in red sauce,1,1
,Mint Mojito,1,0
